자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
드림카프라자,3,경기도 안성시 공도읍 서동대로 4010,경기도 안성시 공도읍 승두리 783-3번지,36.99741079,127.1514216,2001-06-22,1,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
양성자동차   정비소,2,경기도 안성시 양성면 교동길 3,경기도 안성시 양성면 동항리 170-3번지,37.06440539,127.1969638,2001-06-22,701,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
대명공업사,3,경기도 안성시 원곡면 지문로 513,경기도 안성시 원곡면 성은리 342-1번지,37.07323566,127.1558481,2001-07-09,412,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
산정자동차정비공업사,2,경기도 안성시 일죽면 서동대로 7267-1,경기도 안성시 일죽면 월정리 537-5번지,37.08775875,127.4554638,2001-07-27,871,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
코리아모터스(주),1,경기도 안성시 안성맞춤대로 1200,경기도 안성시 당왕동 231-1번지,37.01954985,127.2678475,2001-10-13,2715,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
르노코리아공도정비사업소(주),1,경기도 안성시 공도읍 원승두길 10,경기도 안성시 공도읍 승두리 598-92번지,36.99683667,127.153907,2001-10-22,1869,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
고삼자동차공업사,3,경기도 안성시 고삼면 안성맞춤대로 1955,경기도 안성시 고삼면 가유리 283-1번지,37.0842999,127.2607209,2001-12-05,569,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
케이지모빌리티 안성서비스프라자,3,경기도 안성시 중앙로 127,경기도 안성시 신건지동 84번지,37.01275347,127.2432434,2002-01-16,43.62,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
애니카랜드 신건지점,3,경기도 안성시 중앙로 193,경기도 안성시 신건지동 15-14번지,37.01314896,127.2505595,2002-01-28,658,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
죽산자동차정비㈜,1,경기도 안성시 죽산면 죽주로 73,경기도 안성시 죽산면 두현리 301-1번지,37.0731234,127.4042522,1996-03-07,7060,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
안성고속카센터,3,경기도 안성시 대덕면 서동대로 4889,경기도 안성시 대덕면 건지리 157-8번지,37.02072137,127.2412403,1997-06-13,1140,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
안일자동차정비공업사,3,경기도 안성시 안성맞춤대로 1254,경기도 안성시 당왕동 302-3번지,37.02430161,127.265795,1997-11-03,1231,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
대명자동차정비공업사,3,경기도 안성시 서동대로 5122,경기도 안성시 당왕동 263번지,37.02135891,127.2666196,1997-11-03,980,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
한국타이어 안성공도점,3,경기도 안성시 공도읍 팔머리길 95,경기도 안성시 공도읍 승두리 547-7번지,36.99781987,127.1619494,1997-11-19,898,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
명진자동차정비공업사,3,경기도 안성시 죽산면 서부길 4,경기도 안성시 죽산면 죽산리 515-12번지,37.07421306,127.4202734,1997-11-24,132,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
대강자동차정비공업사,3,경기도 안성시 안성맞춤대로 1289,경기도 안성시 당왕동 368-2번지,37.02717545,127.2645658,1997-11-25,0,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
금호자동차정비공업사,3,경기도 안성시 공도읍 덕봉서원로 13,경기도 안성시 공도읍 용두리 129-3,37.00559889,127.169566,1997-12-05,2840,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
일오삼자동차정비공업사,3,경기도 안성시 일죽면 서동대로 7461,경기도 안성시 일죽면 송천리 50-2번지,37.09425137,127.4738309,1998-01-07,832,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
그린자동차정비공업사,3,경기도 안성시 안성맞춤대로 1335,경기도 안성시 금석동 240-2번지,37.03090102,127.2624237,1998-02-07,73,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
거성자동차정비공업사,3,경기도 안성시 안성맞춤대로 1236,경기도 안성시 당왕동 278-1번지,37.02293785,127.2665887,1998-03-06,644,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
오토코리아모터스,3,경기도 안성시 안성맞춤대로 930,경기도 안성시 도기동 213-1번지,36.9970429405,127.2704896143,1998-03-11,79.2,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
남산자동차정비공업사,3,경기도 안성시 삼죽면 서동대로 6353,경기도 안성시 삼죽면 진촌리 328-1번지,37.0593440330,127.3675493386,1998-03-12,352,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
대성자동차정비공업사,3,경기도 안성시 죽산면 죽주로 163,경기도 안성시 죽산면 두현리 88-12번지,37.0725416683,127.4144109725,1998-03-26,420,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
차사랑자동차정비공업사,3,경기도 안성시 안성맞춤대로 1287,경기도 안성시 당왕동 368-10번지,37.02683983,127.2646732,1998-03-26,529,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
애니카랜드 공도점,3,경기도 안성시 공도읍 공도4로 45,경기도 안성시 공도읍 용두리 134번지,37.00364793,127.1695939,1998-04-27,560,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
안성모터스,3,경기도 안성시 미양면 서운로 644,경기도 안성시 미양면 구수리 82-4번지,36.96887284,127.2625493,1998-04-27,651,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
빙고카에어컨 자동차정비,3,경기도 안성시 안성맞춤대로 1322,경기도 안성시 금석동 239-13번지,37.03006281,127.2635746,1998-05-21,277,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
한국오토써비스,3,경기도 안성시 안성맞춤대로 923,경기도 안성시 계동 1번지,36.99633522,127.2697433,1998-05-21,1157,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
오너자동차써비스,3,경기도 안성시 안성맞춤대로 953,경기도 안성시 도기동 40-6번지,36.99880341,127.2686137,1998-07-22,661,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
죽산자동차정비공업사,3,경기도 안성시 죽산면 서동대로 7001,경기도 안성시 죽산면 죽산리 91-1번지,37.0769796,127.430175,1998-08-24,1,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
신도시자동차정비공업사,3,경기도 안성시 대덕면 서동대로 5051,경기도 안성시 대덕면 소현리 295번지,37.02353443,127.2589499,1998-08-24,1,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
유성자동차정비공업사,3,경기도 안성시 학자로 9,경기도 안성시 금산동 141-2번지,37.01123109,127.2689313,1998-08-24,903.2,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
한일오토서비스,3,경기도 안성시 공도읍 공도로 102,경기도 안성시 공도읍 만정리 424-29번지,36.99997849,127.1723203,1998-08-27,340,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
만도자동차정비공업사,3,경기도 안성시 안성맞춤대로 836,경기도 안성시 계동 83-2번지,36.98859924,127.2696339,1998-10-31,677,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
태양자동차정비공업사,3,경기도 안성시 배티로 1148-3,경기도 안성시 봉산동 395-3번지,37.00418858,127.2778672,1998-11-18,412,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
기현자동차정비공업사,3,경기도 안성시 장기로60번길 24-10,경기도 안성시 인지동 444-2번지,37.00379684,127.2688483,1998-11-18,349,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
금강자동차정비공업사,1,경기도 안성시 공도읍 서동대로 4344,경기도 안성시 공도읍 만정리 304-11번지,37.00508046,127.1849217,1994-07-27,2736,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
청룡자동차정비공업㈜,1,경기도 안성시 서운로 806,경기도 안성시 중리동 307번지,36.98220794,127.2686463,1994-10-24,1621,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
현대모터스㈜,1,경기도 안성시 대덕면 만세로 37,경기도 안성시 대덕면 모산리 410-3번지,37.02363093,127.2395572,1994-10-24,1620,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
죽산정비사업소,2,경기도 안성시 죽산면 걸미로 766-1,경기도 안성시 죽산면 장원리 982번지 1호,37.06324896,127.4127098,1996-02-02,0,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
주식회사 타고,3,경기도 하남시 하남대로933번길 21,경기도 하남시 풍산동 383-7,37.5456001,127.1957441,2022-03-31,316.24,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
조은타이어(본점),3,경기도 하남시 광암로148번길 39,경기도 하남시 광암동 272-5,37.5137005523,127.1715786298,2022-04-28,363.84,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
준모터스,3,,경기도 하남시 감북동 345-6,37.5193536887,127.1598113533,2022-07-28,298.92,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
원티드,3,경기도 하남시 감일남로 39(감일동),경기도 하남시 감일동 376-7,37.5062081489,127.1443002415,2022-08-29,230,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
주식회사 타이어트리 송파점,3,,경기도 하남시 감일동 247,37.5116427308,127.1448868167,2022-10-05,103,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
A다스,3,,경기도 하남시 감일동 496-5,37.508782152,127.152465448,2022-12-19,73.38,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
케이 탑 모터스,3,경기도 하남시 월호로 40(덕풍동),경기도 하남시 덕풍동 41-1,37.5532450556,127.2102138846,2023-01-13,160.32,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
이타이어,3,경기도 하남시 서하남로 38-1(감북동),경기도 하남시 감북동 438-9,37.5160230528,127.1480133181,2023-01-20,375.8,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
제이제이 모터스(J.J MoToRs),3,"경기도 하남시 서하남로 60, 1층(감북동)",경기도 하남시 감북동 391-42,37.5153968427,127.1503776083,2023-02-10,187.6,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
아톰카,3,경기도 하남시 초이로160번길 26(초이동),경기도 하남시 초이동 177-20,37.5443430236,127.1735649104,2023-03-22,225,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
바름정비,3,,경기도 하남시 미사동 208-5,37.5660916358,127.2059670110,2023-04-14,469.65,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
주식회사 아라바 하남점,3,경기도 하남시 덕풍로81번길 50(덕풍동),경기도 하남시 덕풍동 219-3,37.5501336082,127.2030257235,2023-04-24,199.71,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
수카센타,3,경기도 하남시 검단남로 23(하산곡동),경기도 하남시 하산곡동 205-9,37.5170180754,127.2237800306,2023-04-25,69,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
오토오아시스 홈플러스 경기하남점,3,"경기도 하남시 하남대로 747(신장동, 지하3층)",경기도 하남시 신장동 570,37.5379964797,127.2126311079,2023-06-02,140.56,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
J.S motors,3,,경기도 하남시 창우동 426-3,37.5270885724,127.2265164125,2023-06-21,287,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
옐로우터널Q,3,"경기도 하남시 신평로 170, 103호(신장동, 104호)",경기도 하남시 신장동 303-59,37.5474363190,127.2117322615,2023-07-11,90.75,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
한일오토카,3,"경기도 하남시 감일로88번길 32, 1층(감일동)",,37.508540488,127.151215174,2023-07-26,133.46,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
(주)에스앤케이글로벌 송파서비스점,3,경기도 하남시 서하남로 36(감북동),경기도 하남시 감북동 438,37.5157637200,127.1478887206,2023-08-09,492.6,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
남성카모터스,3,경기도 하남시 하남대로933번길 21(풍산동),경기도 하남시 풍산동 383-7,37.5456959678,127.1957440505,2023-09-26,937.98,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
(주)양군모터스,3,경기도 하남시 감초로52번길 18(감북동),,37.518477953,127.160213918,2023-10-30,267.85,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
믿음정비,3,경기도 하남시 서하남로95번길 50(감북동),,37.5158075175,127.1570940859,2023-12-14,445.89,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
현대블루핸즈 감일점,3,경기도 하남시 감일로 166(감일동),경기도 하남시 감일동 132-2,37.5141185333,127.1557743882,2024-01-29,231,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
JP모터스,3,"경기도 하남시 서하남로 110, 101호(감북동)",경기도 하남시 감일동 132-1,37.5142554147,127.1560330183,2024-02-08,153.5,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
한프로모터스,3,경기도 하남시 동남로424번길 50(감일동),경기도 하남시 감일동 246-6,37.5117331899,127.1445260074,2024-02-26,284.36,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
미도공업사,3,경기도 하남시 하남대로 254(상산곡동),경기도 하남시 상산곡동 79-8,37.4981964824,127.2324115099,2024-03-15,218.4,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
코오롱오토모티브(주) 하남서비스,3,경기도 하남시 감일남로 24(감일동),경기도 하남시 감일동 370-12,37.5061148559,127.1423272803,2024-05-29,475,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
주식회사 팀윈터스,3,,경기도 하남시 감이동 474-9,37.506786381,127.167469724,2024-05-31,87.7,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
오일서비스 하남점,3,,경기도 하남시 덕풍동 512-9,37.5346360965,127.2038003604,2024-06-14,110,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
보성오링,4,,경기도 하남시 광암동 399-5,37.5287284826,127.1725554608,2023-06-12,521.18,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
마일레 강동올림픽센터,3,경기도 하남시 감초로 56,경기도 하남시 감북동 354-15,37.51900475,127.1594262,2019-05-23,148,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
카젠 감북점,3,경기도 하남시 감초로 71,경기도 하남시 감북동 286-4,37.52046774,127.1595383,2019-06-13,89.68,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
카닥터모터스,3,경기도 하남시 검단산로 35-15,경기도 하남시 하산곡동 166-4,37.52031719,127.2251523,2019-07-02,343,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
국제자동차공업사,3,경기도 하남시 검단남로 25,경기도 하남시 하산곡동 205-29,37.51715716,127.2236989,2019-07-19,186.41,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
은혜 카센타,3,경기도 하남시 감초로 221,경기도 하남시 초이동 360,37.53263166,127.1670036,2019-08-22,170.19,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
(주)엘브이위본 송파서비스센터,3,경기도 하남시 서하남로 36,경기도 하남시 감북동 438-10,37.51576372,127.1478887,2019-10-02,492,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
존스오토,3,경기도 하남시 초이로92번길 16-6,경기도 하남시 초이동 234-47,37.5382217,127.1725421,2019-10-22,484,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
라즈베리모터스,3,경기도 하남시 조정대로 45,경기도 하남시 풍산동 494,37.55068518,127.1844759,2019-12-20,190.82,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
프리미어모터스,3,경기도 하남시 감이남로 30,경기도 하남시 감이동 359,37.49288204,127.1593529,2019-12-30,279.34,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
김태민,3,경기도 하남시 미사강변한강로 319,경기도 하남시 망월동 1151,37.5622542,127.2000517,2020-02-14,154.45,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
르노삼성자동차 지정정비코너 하남점,3,경기도 하남시 초이로 142,경기도 하남시 초이동 167-14,37.54322467,127.1719264,2020-03-06,472.57,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
디와이(DY)자동차,3,경기도 하남시 서하남로19번길 61,경기도 하남시 감북동 449-4,37.51956236,127.145116,2020-06-10,111.19,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
B-REIST MOTORS(브리스트모터스),3,경기도 하남시 감일남로52번길 21-6,경기도 하남시 감일동 384-5,37.50423706,127.1457381,2020-07-27,215,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
주식회사 아라바,3,경기도 하남시 덕풍북로6번길 116,경기도 하남시 덕풍동 302-5,37.54814731,127.2043626,2020-07-27,160,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
오성모터스,3,경기도 하남시 초광로 47,경기도 하남시 광암동 115-1,37.52519988,127.174643,2020-08-07,153,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
오토라이프(Auto Life),3,,경기도 하남시 신장동 258-11,37.54702865,127.2153216,2020-09-14,255.2,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
티엠모터스,3,경기도 하남시 초광로 255,경기도 하남시 초이동 201-5,37.54264665,127.1751951,2020-12-08,198,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
오토샤인,3,경기도 하남시 미사동로40번길 45,경기도 하남시 미사동 459-10,37.56905608,127.2031101,2021-02-01,95.7,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
트윈모터스,3,경기도 하남시 서하남로43번길 167,경기도 하남시 감북동 271-12,37.5205757,127.1543043,2021-03-19,85.62,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
늘함께하는카센타,3,경기도 하남시 하남유니온로 23,경기도 하남시 신장동 332-5,37.54634909,127.2133818,2021-03-30,196.68,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
올타이어X럭키공구박스,3,경기도 하남시 덕풍북로259번길 32,경기도 하남시 덕풍동 813-6,37.54723916,127.2106856,2021-05-24,142,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
모터플라츠,3,경기도 하남시 검단산로 148,경기도 하남시 창우동 422-4,37.52830406,127.2263086,2021-09-03,165.68,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
에스비씨모터스,3,,경기도 하남시 감북동 345-1,37.51971757,127.1589793,2021-09-09,231,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
신흥공업사,3,경기도 하남시 초이로 77-36,경기도 하남시 초이동 264-3,37.53782188,127.1702141,2021-09-16,63.63,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
주식회사 제넥스모터스,3,경기도 하남시 서하남로41번길 18,경기도 하남시 감북동 412-5,37.51738065,127.1489001,2021-10-08,199.44,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
MRO모터스,3,경기도 하남시 감초로 47-30,경기도 하남시 감북동 354-1,37.51953382,127.159001,2021-10-08,355.72,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
카온모터스,3,,경기도 하남시 창우동 426-19,37.52746257,127.2260846,2021-11-08,175.95,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
나인모터스,3,,경기도 하남시 창우동 301-6,37.53313323,127.2268771,2022-02-25,446.49,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
조이모터스,3,경기도 하남시 서하남로41번길 18,경기도 하남시 감북동 412-5,37.51738065,127.1489001,2022-03-10,473,1,,,,,,,경기도 하남시청,031-790-5188,2024-06-28,4040000,경기도 하남시
타이어테크,3,충청북도 증평군 증평읍 중앙로 253,충청북도 증평군 증평읍 장동리 883,36.78744921,127.5850143,2019-08-01,99.17,1,,,,,,,충청북도 증평군청,043-835-3846,2024-12-19,5570000,충청북도 증평군
삼원카모아,3,충청북도 증평군 증평읍 광장로 193-1,충청북도 증평군 증평읍 증천리 488,36.7821222,127.5931068,2019-11-28,55.74,1,,,,,,,충청북도 증평군청,043-835-3846,2024-12-19,5570000,충청북도 증평군
아성모터스,3,충청북도 증평군 증평읍 두름로1길 42-8,충청북도 증평군 증평읍 장동리 435-2,36.78716291,127.5906706,2020-04-21,193.8,1,,,,,,,충청북도 증평군청,043-835-3846,2024-12-19,5570000,충청북도 증평군
차사랑카 서비스,3,충청북도 증평군 증평읍 초중4길 4,충청북도 증평군 증평읍 초중리 610-1,36.7763062,127.5696191,2020-10-29,217.21,1,,,,,,,충청북도 증평군청,043-835-3846,2024-12-19,5570000,충청북도 증평군
레전드모터스,3,충청북도 증평군 증평읍 진지내8길 2,충청북도 증평군 증평읍 증천리 545,36.78141212,127.5941013,2021-03-25,192,1,,,,,,,충청북도 증평군청,043-835-3846,2024-12-19,5570000,충청북도 증평군
