차종,연비,이미지
2001 리오 세단,14.4~17.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_284%2Fauto_1497940163232TXklv_PNG%2F13486_2001__.png
2001 베르나,13.9~18km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_228%2Fauto_14979400346573B5Wp_PNG%2F13478_2001_.png
1995 스쿠프,14.1~16.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_178%2Fauto_14979400620895JsXG_PNG%2F13669_1995_.png
2007 마티즈,16.6~20.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20171016_116%2Fauto_1508127926318OFPhq_PNG%2F20171016132524_Dp4aLQtU.png
1994 아벨라,17.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_117%2Fauto_1497940062997aeKMM_PNG%2F17145_1994_.png
1990 프라이드 베타,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190901_78%2Fauto_1567306026066K0d53_PNG%2F20190901114641_8UFYqWNd.png
2009 마티즈,16.6~20.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190926_214%2Fauto_1569468177869214bX_PNG%2F20190926122256_Qe2fBrKc.png
2001 라노스 해치백,13.6~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_179%2Fauto_1497940107718WcHDa_PNG%2F13505_2001_2_.png
2002 클릭,16~17.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_228%2Fauto_1497940022984XJ7k8_PNG%2F13321_2002_.png
1995 엘란트라,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_265%2Fauto_1497940100563wAl1i_PNG%2F13657_1995_.png
1994 씨에로,15.1~15.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_234%2Fauto_1497940085152ac9kW_PNG%2F17149_1994_.png
1990 엘란트라,11.8~13.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_214%2Fauto_1497940048058pGRco_PNG%2F16607_1990_.png
1995 봉고,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190919_9%2Fauto_1568856735607vcd9f_PNG%2F20190919103147_I29cIHte.png
1994 넥시아,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191220_73%2Fauto_1576804063391Ws1fY_PNG%2F20191220100538_VO9Z9vm2.png
2001 리오 해치백,16.2~17.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191030_58%2Fauto_157239734102028y6f_PNG%2F20191030100218_Skreq7wI.png
2004 모닝,15.5~18.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_249%2Fauto_1497939459411F1Pb7_PNG%2F11991_2007_.png
2005 리오 해치백,14~15.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191030_163%2Fauto_157239776448721AWf_PNG%2F20191030100922_Mfwfu9gF.png
2005 클릭,14~17.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_144%2Fauto_1497940095681CrlpB_PNG%2F12879_2005_.png
1993 르망,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191224_245%2Fauto_1577177449374clJhU_PNG%2F20191224175023_3amUCTpU.png
2022 스즈키 알토 K10,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220824_80%2Fauto_16613202765773jTsa_PNG%2F20220824145104_plSGMxwI.png
2005 리오 세단,12.3~15.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_75%2Fauto_14979401031558HNaf_PNG%2F13021_2005_SF_.png
1993 포터,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190919_4%2Fauto_1568871415230uhAgL_PNG%2F20190919143612_poMG5CN9.png
2008 모닝,16.6~19.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_112%2Fauto_1497939300409xDVlM_PNG%2F11397_2008_.png
2020 르노 크위드,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191025_93%2Fauto_1571967237201539dj_PNG%2F20191025103343_iIeD1jrs.png
2006 칼로스,13.3~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_184%2Fauto_1497939474661Dj9Yw_PNG%2F12396_2006_.png
1991 스쿠프,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191126_230%2Fauto_1574750155967yQoIr_PNG%2F20191126153554_YSoqF7sb.png
1992 세피아,15.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_171%2Fauto_1497938992764zwnQN_PNG%2F16592_1992_.png
2010 모닝,16.3~20km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_274%2Fauto_1496110776283pDnfM_PNG%2F10351_2010_.png
2002 베르나,13.9~18km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_74%2Fauto_1497939859860ommii_PNG%2F13386_2002_.png
2012 라보,9.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_8%2Fauto_14960481098126NCqY_PNG%2F15266_2012_.png
2007 칼로스,13.3~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_20%2Fauto_1497939384884TtW2R_PNG%2F11750_2007_.png
1996 에스페로,14.8~15.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_24%2Fauto_14979401289403npP2_PNG%2F13644_1996_.png
1997 세피아,15.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170531_72%2Fauto_1496229691445nltwi_PNG%2F20170531202104_oqtDdYAd.png
2004 베르나,11.9~15.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_143%2Fauto_1497940141648bbq1D_PNG%2F13102_2004_.png
1998 아반떼,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191231_34%2Fauto_15777562220909kQ0x_PNG%2F20191231103644_PfrGIyD2.png
2000 슈마,13.2~15.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_121%2Fauto_14979400401873SPa4_PNG%2F13574_2000_.png
2006 클릭,13~20.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_267%2Fauto_1497939409339IgsjJ_PNG%2F12368_2006_.png
2008 클릭,13.5~20.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_272%2Fauto_1497939352727dXLH9_PNG%2F11038_2008_.png
1995 세피아,11.3~15.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170531_96%2Fauto_1496227789450EPTkB_PNG%2F20170531194919_qgQK8bWV.png
1997 봉고,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190919_272%2Fauto_1568857400569Vo3yF_PNG%2F20190919104258_nIexX3LY.png
1999 누비라,13.3~16km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_62%2Fauto_1497940153548VL2fm_PNG%2F28911_1999_2.png
2020 타타 티아고,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200414_289%2Fauto_1586849656683jcX8R_PNG%2F20200414163406_5LMYKQbI.png
2011 마티즈,13.6~21km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191216_108%2Fauto_1576459952156eBbWJ_PNG%2F20191216103230_XgY333pW.png
1995 아반떼,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191231_44%2Fauto_1577755415630KI2Nr_PNG%2F20191231102333_c7r4oTd6.png
1999 야무진,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190919_191%2Fauto_1568868224167ADaoO_PNG%2F20190919134327_xtgHiBe2.png
2013 타타 벤처,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_218%2Fauto_1496048711381hMQvL_PNG%2F33273_2013__.png
2016 마힌드라 KUV100,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191108_121%2Fauto_1573199228092XDxPD_PNG%2F20191108164648_9OVtAsHA.png
2015 타타 볼트,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20171211_104%2Fauto_1512968068038rYVpx_PNG%2F20171211135418_XuLJ5GHP.png
1993 그레이스,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20171218_197%2Fauto_1513577681148CovcG_PNG%2F20171218151426_zk0OHEnm.png
2014 토요타 아이고,4.5ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200129_37%2Fauto_1580269665856JzWvI_PNG%2F20200129124731_HTzgeKel.png
2010 마티즈,13.6~21km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_253%2Fauto_1496110761377J3Gib_PNG%2F10359_2010__.png
2002 누비라,13.3~16km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_96%2Fauto_14979400745864nhvf_PNG%2F13410_2002_2.png
2015 라보,8.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_156%2Fauto_1495798201348kP6Ql_PNG%2F58181_2015__.png
2020 스즈키 이그니스,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200304_217%2Fauto_1583296840667CLP70_PNG%2F20200304134018_MfsAs5wq.png
2011 모닝,18.5~22km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190827_137%2Fauto_1566912362557Sym9b_PNG%2F20190827222559_SceTM1XA.png
2008 젠트라X,15.4~17.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_85%2Fauto_1497939311300NlIQO_PNG%2F11109_2008_X.png
2011 쉐보레 스파크,13.6~21km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220520_88%2Fauto_1653036414284AD7vk_PNG%2F20220520174652_1GRLrDdz.png
2012 모닝,15.1~22km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_215%2Fauto_1496048056849h4sDE_PNG%2F16748_2012_.png
2020 르노 트라이버,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191025_245%2Fauto_1571968436675aERb4_PNG%2F20191025105340_tcTXZYhf.png
2008 젠트라,13.3~17.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_259%2Fauto_1497939378239WNGgL_PNG%2F11111_2008_.png
2017 라보,8.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_147%2Fauto_1495542478945xNI60_PNG%2F64871_2017__.png
2018 라보,8.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180412_121%2Fauto_1523515695142YOCLT_PNG%2F20180412154759_s3jD4Hp2.png
2019 라보,8.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190327_207%2Fauto_1553661831995ws2qy_PNG%2F20190327134332_UDtVB7w7.png
2020 라보,8.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190816_189%2Fauto_1565936019086CVv3C_PNG%2F20190816151324_0hnwGxpS.png
2021 라보,8.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20201020_118%2Fauto_1603181152488CdEFa_PNG%2F20201020170547_ruOe2fCp.png
1996 포터,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190919_164%2Fauto_1568871998992oUf1P_PNG%2F20190919144615_91VgHJNO.png
2013 모닝,12.3~17km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_48%2Fauto_1496048415167nVs9N_PNG%2F18469_2013_.png
2002 스펙트라,11.7~16.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_75%2Fauto_1497939914843EaO5B_PNG%2F13370_2002_.png
1995 아반떼 투어링,11~11.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170725_163%2Fauto_1500955287806yTMIy_PNG%2F20170725125958_TELDg4Zi.png
2014 닷선 고 플러스,20.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191216_14%2Fauto_1576486076831vkGrK_PNG%2F20191216174755_l0QTEC9d.png
2009 베르나,13.2~20.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_241%2Fauto_1496110280510vFsGb_PNG%2F10739_2009_.png
2002 라비타,12.4~13.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_106%2Fauto_1497940081542I9oqC_PNG%2F13406_2002_.png
2015 스즈키 알토,25.2~37km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170712_6%2Fauto_1499845139738JEIRb_PNG%2F20170712163856_YEd71nO1.png
2008 베르나,13.3~20.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_200%2Fauto_1497939267823Ky7in_PNG%2F11367_2008_.png
2017 스즈키 캐리,19.6~19.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_191%2Fauto_1495542429440SXr4u_PNG%2F66477_2017--CARRY.png
2006 베르나,13.2~20.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_295%2Fauto_1497939948874WwIt0_PNG%2F12673_2006_.png
2003 스펙트라,11.3~16.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_254%2Fauto_1497939915115mHmdk_PNG%2F13197_2003_.png
2012 쉐보레 스파크,13.6~21km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_88%2Fauto_1496048188250HCN5j_PNG%2F17659_2012_.png
2003 라세티,12.7~14.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_295%2Fauto_1497939913118TdSbi_PNG%2F13267_2003_.png
